dish,kcal,protein,carb,fat
竹莢魚（一貫）,54,3.4,9.4,0.3
槍烏賊,73,4.6,12.8,0.4
紫蘇北魷,75,3.8,12.2,1.2
鰈魚西京漬,79,4.0,10.9,2.2
大份帆立貝壽司,80,5.0,14.0,0.4
竹莢魚（兩貫）,85,4.2,13.8,1.4
究極熟成醃漬鮪魚,85,4.2,11.7,2.4
究極熟成鮪魚,88,4.4,12.1,2.4
飛魚卵,90,4.5,14.6,1.5
調味鮭魚卵,94,4.7,12.9,2.6
炸蝦天婦羅手卷（一貫）,113,2.8,11.3,6.3
生拌甜蝦,115,7.2,20.1,0.6
伊比利亞豬大肚,115,4.3,11.5,5.8
鰻魚蛋,129,6.5,17.7,3.6
炸蝦天婦羅壽司,135,3.4,13.5,7.5
肉厚鯖魚肚,151,7.6,20.8,4.2
納豆卷,160,8.0,26.0,2.7
濃醇切達起司天婦羅壽司,167,4.2,16.7,9.3
超大 肉厚鮮蝦（一貫）,45,2.8,7.9,0.2
滿滿海膽手卷（一貫）,46,2.9,8.0,0.3
豐盛長鰭鮪魚肚（一貫）,48,1.8,4.8,2.4
絆 真鯛鹽締炙燒（一貫）,51,3.2,8.9,0.3
大顆帆立貝（一貫）,52,3.2,9.1,0.3
炙烤大顆醃漬帆立貝（一貫）,54,3.4,9.4,0.3
超大 蛋黃醬油醃漬帆立貝（一貫）,58,3.6,10.1,0.3
清見橘子鰤魚（一貫）,65,0.8,15.4,0.0
醬油醃日本國產螢火魷,71,4.4,12.4,0.4
特大片 生鮭魚（一貫）,71,4.4,12.4,0.4
紫蘇花枝,73,4.6,12.8,0.4
極厚 鮭魚（一貫）,75,4.7,13.1,0.4
究極熟成 河豚,77,3.9,12.5,1.3
究極熟成河豚 柚醋凍,78,3.9,12.7,1.3
究極熟成 鮪魚中肚（一貫）,79,4.9,13.8,0.4
鮪魚肚鐵火卷,196,7.3,19.6,9.8
紅燒黑豬肉,276,10.3,27.6,13.8
超肥美鮪魚肚,79,3.0,7.9,4.0
究極熟成 海苔包中肚（一貫）,81,5.1,14.2,0.4
熟成 鮪魚大肚（一貫）,82,3.1,8.2,4.1
鯛魚天婦羅壽司（一貫）,82,2.1,8.2,4.6
特大份 滿溢灰眼雪蟹握壽司,82,4.1,13.3,1.4
甜蝦二種拼盤,83,5.2,14.5,0.5
黑棘鯛,84,4.2,13.7,1.4
日本國產魟魚 黑胡椒醃漬,85,4.2,13.8,1.4
究極熟成 櫻鯛,88,4.4,14.3,1.5
究極熟成 真鯛,88,4.4,12.1,2.4
長鰭鮪魚肚 黑胡椒醃漬,90,3.4,9.0,4.5
炙烤生土魠魚,92,4.6,15.0,1.5
厚切 鮪魚中肚（一貫）,93,5.8,16.3,0.5
鰻魚肝軍艦,94,4.7,12.9,2.6
芥末貝肉軍艦,94,4.7,15.3,1.6
柚子醃漬鮭魚,95,4.8,13.1,2.6
特大片 鮭魚品嚐比較,183,9.2,25.2,5.1
黑毛和牛壽喜燒風味,187,9.3,30.4,3.1
鮮蝦石澤芝麻沙拉醬,96,4.8,15.6,1.6
小柱明太子軍艦,96,4.8,15.6,1.6
炙烤醃漬帆立貝,98,6.1,17.1,0.5
醋醃日本國產肥美窩斑鮮幼魚,98,4.9,15.9,1.6
究極熟成 厚切鮪魚,99,5.0,13.6,2.8
極厚 熟成鮪魚中肚（一貫）,100,6.2,17.5,0.6
韓式烤肉風味牛五花,101,3.8,10.1,5.1
特大份 滿溢川燙吻仔魚軍艦,101,5.1,16.4,1.7
生鮭魚（兩貫）,104,5.2,14.3,2.9
日本國產小鮪魚 生薑醬油醃漬,105,5.2,14.4,2.9
日本國產黑鯛 石澤芝麻醬,106,5.3,17.2,1.8
天然真沙丁魚,108,5.4,17.6,1.8
一整顆扇貝軍艦,108,5.4,17.6,1.8
炙烤羅勒鮭魚,110,5.5,15.1,3.1
日本國產細切生鯖魚軍艦,112,5.6,15.4,3.1
大顆鮭魚卵,114,5.7,15.7,3.2
鯖魚紫蘇卷,174,8.7,23.9,4.8
海鮮細卷,176,8.8,28.6,2.9
豬五花石澤芝麻沙拉醬,115,4.3,11.5,5.8
蛤仔石澤沙拉醬,117,5.9,19.0,2.0
日本國產 天然黑鮪的蔥花鮪魚軍艦,117,5.9,16.1,3.2
鰻魚丼飯口味握壽司（一貫）,119,4.5,17.8,3.3
魚鰭邊肉軍艦,125,6.2,20.3,2.1
天然鮮蝦三種拼盤,130,6.5,21.1,2.2
活締星鰻天婦羅壽司,132,3.3,13.2,7.3
天然藍鰭鮪魚上等赤身三種拼盤,135,6.8,18.6,3.8
鮮蝦玉米美乃滋,137,5.1,13.7,6.8
海鮮肉膾軍艦,140,21.0,3.5,4.7
厚切鮭魚 搭配鮭魚卵,141,7.1,19.4,3.9
究極美味厚切鮭魚,144,7.2,19.8,4.0
芝麻醬油醃漬幼鰤魚,144,7.2,19.8,4.0
鹽味蔥花鮭魚軍艦,145,7.2,19.9,4.0
鯖魚棒壽司,145,7.2,19.9,4.0
厚切長鰭鮪魚肚三種拼盤,152,5.7,15.2,7.6
炸赤雞塊塔塔醬軍艦,164,4.1,16.4,9.1
鰻魚黃瓜卷,17,0.9,2.3,0.5
含石蓴 赤味噌湯,76,7.6,3.8,3.4
含石蓴 味噌湯,61,6.1,3.1,2.7
蛤仔赤味噌湯,66,6.6,3.3,2.9
蛤仔味噌湯,52,5.2,2.6,2.3
鰻魚茶碗蒸,118,1.5,28.0,0.0
炸蝦天婦羅烏龍麵,274,6.9,27.4,15.2
鮮蝦天婦羅白蘿蔔泥醬汁烏龍麵,338,8.5,33.8,18.8
兒童加油軍艦套餐,833,41.7,135.4,13.9
兒童加油套餐,508,25.4,82.5,8.5
高湯章魚燒,100,10.0,5.0,4.4
清湯烏龍麵,227,8.5,34.0,6.3
豆皮烏龍麵,292,10.9,43.8,8.1
魚介肉膾,185,27.8,4.6,6.2
【藏午餐】炸蝦與時令天婦羅丼飯,692,17.3,69.2,38.4
【藏午餐】牛五花丼飯,581,21.8,58.1,29.0
【藏午餐】時令海鮮丼飯,462,17.3,69.3,12.8
【藏午餐】人氣握壽司,406,20.3,66.0,6.8
【藏午餐】什錦炸物丼飯,797,19.9,79.7,44.3
精選毛豆,121,18.1,3.0,4.0
芝麻香無糖擔擔麵,279,10.5,41.9,7.8
芝麻香擔擔麵,423,15.9,63.4,11.8
札幌味噌拉麵,399,15.0,59.8,11.1
3種濃厚起司薯條,497,12.4,49.7,27.6
壽司屋風味鰻魚丼飯,611,22.9,91.6,17.0
壽司屋風味鰻魚丼飯（少量米飯）,536,20.1,80.4,14.9
壽司店的炸壽司飯丸咖哩烏龍麵,502,12.6,50.2,27.9
壽司店的炸壽司飯丸咖哩烏龍麵（甜味）,509,12.7,50.9,28.3
壽司屋風味特等鰻魚丼飯,846,31.7,126.9,23.5
壽司屋風味特等鰻魚丼飯（少量米飯）,762,28.6,114.3,21.2
絕品日式龍田炸鮪魚,250,6.2,25.0,13.9
傳說中的炸雞塊,397,9.9,39.7,22.1
特製厚玉子燒,96,4.8,15.6,1.6
特製叉燒 魚肉泥可樂餅,200,2.5,47.5,0.0
特製茶碗蒸,67,0.8,15.9,0.0
特製雞湯拉麵,434,16.3,65.1,12.1
入口即化起司培根蛋烏龍麵,451,16.9,45.1,22.6
7種魚介 追加柴魚片醬油無糖拉麵,149,5.6,22.3,4.1
7種魚介 追加柴魚片醬油拉麵,286,10.7,42.9,7.9
7種魚介濃厚味噌拉麵,285,10.7,42.8,7.9
醬汁烏龍麵,235,8.8,35.2,6.5
青花菜沙拉,100,5.0,16.2,1.7
芬醇鹽味拉麵,280,10.5,42.0,7.8
小塊炸雞塊,149,3.7,14.9,8.3
滿滿的薯條（番茄醬）,472,11.8,47.2,26.2
和牛 魚肉泥可樂餅,207,2.6,49.2,0.0
竹莢魚天婦羅拼盤,187,4.7,18.7,10.4
航魚天婦羅,136,3.4,13.6,7.6
炸蝦天婦羅,75,1.9,7.5,4.2
